,Company Name,Salary,tags,Job Roles
102,Wibmo,900000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
103,Retail Pulse,24000,"['Android', 'Developer', '-', 'Intern', 'Bangalore', 'Intern', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
104,Bookmyshow,600000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
105,Knowledge Flex,228000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
106,Novopay Solutions,600000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
107,WealthEngine,360000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
108,J.P. Morgan,1000000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
109,Acviss,500000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
110,Fresher,408000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
111,MedOnGo,300000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
112,Nuclei,800000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
113,eSecForte Technologies,228000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
114,Moveinsync Technology Solutions,100000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
115,Tech Mahindra,500000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
116,ThiDiff Technologies,200000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
117,Retranz Infolabs,500000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
118,FicusLot,228000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
119,KrazyBee,708000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
120,powerplay app,396000,"['Android', 'Developer', '-', 'Intern', 'Bangalore', 'Intern', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
121,Dcoder,700000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
122,Masai School,500000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
123,Integra Micro Software Services (P),500000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
